"GEO_ID","NAME","P15_001N","P15_002N","P15_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Under 18 years"," !!Total:!!18 years and over",
"1500000US481130001001","Block Group 1; Census Tract 1; Dallas County; Texas","1382","280","1102",
"1500000US481130001002","Block Group 2; Census Tract 1; Dallas County; Texas","1757","470","1287",
"1500000US481130001003","Block Group 3; Census Tract 1; Dallas County; Texas","1334","421","913",
"1500000US481130002011","Block Group 1; Census Tract 2.01; Dallas County; Texas","937","182","755",
"1500000US481130002012","Block Group 2; Census Tract 2.01; Dallas County; Texas","1246","303","943",
"1500000US481130002013","Block Group 3; Census Tract 2.01; Dallas County; Texas","990","305","685",
"1500000US481130002021","Block Group 1; Census Tract 2.02; Dallas County; Texas","870","144","726",
"1500000US481130002022","Block Group 2; Census Tract 2.02; Dallas County; Texas","1389","324","1065",
"1500000US481130002023","Block Group 3; Census Tract 2.02; Dallas County; Texas","1535","250","1285",
"1500000US481130003001","Block Group 1; Census Tract 3; Dallas County; Texas","1513","261","1252",
"1500000US481130003002","Block Group 2; Census Tract 3; Dallas County; Texas","1391","287","1104",
"1500000US481130003003","Block Group 3; Census Tract 3; Dallas County; Texas","982","105","877",
"1500000US481130003004","Block Group 4; Census Tract 3; Dallas County; Texas","706","53","653",
"1500000US481130004011","Block Group 1; Census Tract 4.01; Dallas County; Texas","1289","334","955",
"1500000US481130004012","Block Group 2; Census Tract 4.01; Dallas County; Texas","1110","277","833",
"1500000US481130004013","Block Group 3; Census Tract 4.01; Dallas County; Texas","16","4","12",
"1500000US481130004014","Block Group 4; Census Tract 4.01; Dallas County; Texas","1936","125","1811",
"1500000US481130004051","Block Group 1; Census Tract 4.05; Dallas County; Texas","1147","137","1010",
"1500000US481130004052","Block Group 2; Census Tract 4.05; Dallas County; Texas","1084","230","854",
"1500000US481130004071","Block Group 1; Census Tract 4.07; Dallas County; Texas","1108","224","884",
"1500000US481130004072","Block Group 2; Census Tract 4.07; Dallas County; Texas","975","90","885",
"1500000US481130004081","Block Group 1; Census Tract 4.08; Dallas County; Texas","830","35","795",
"1500000US481130004082","Block Group 2; Census Tract 4.08; Dallas County; Texas","1358","78","1280",
"1500000US481130004091","Block Group 1; Census Tract 4.09; Dallas County; Texas","0","0","0",
"1500000US481130004092","Block Group 2; Census Tract 4.09; Dallas County; Texas","3919","262","3657",
"1500000US481130004101","Block Group 1; Census Tract 4.10; Dallas County; Texas","1233","290","943",
"1500000US481130004102","Block Group 2; Census Tract 4.10; Dallas County; Texas","1709","410","1299",
"1500000US481130004103","Block Group 3; Census Tract 4.10; Dallas County; Texas","1912","496","1416",
"1500000US481130005011","Block Group 1; Census Tract 5.01; Dallas County; Texas","1024","30","994",
"1500000US481130005012","Block Group 2; Census Tract 5.01; Dallas County; Texas","926","39","887",
"1500000US481130005021","Block Group 1; Census Tract 5.02; Dallas County; Texas","1407","22","1385",
"1500000US481130005022","Block Group 2; Census Tract 5.02; Dallas County; Texas","1069","35","1034",
"1500000US481130005031","Block Group 1; Census Tract 5.03; Dallas County; Texas","1141","37","1104",
"1500000US481130005032","Block Group 2; Census Tract 5.03; Dallas County; Texas","1611","71","1540",
"1500000US481130006051","Block Group 1; Census Tract 6.05; Dallas County; Texas","897","30","867",
"1500000US481130006052","Block Group 2; Census Tract 6.05; Dallas County; Texas","582","14","568",
"1500000US481130006053","Block Group 3; Census Tract 6.05; Dallas County; Texas","925","17","908",
"1500000US481130006061","Block Group 1; Census Tract 6.06; Dallas County; Texas","1379","86","1293",
"1500000US481130006062","Block Group 2; Census Tract 6.06; Dallas County; Texas","970","43","927",
"1500000US481130006063","Block Group 3; Census Tract 6.06; Dallas County; Texas","821","15","806",
"1500000US481130006071","Block Group 1; Census Tract 6.07; Dallas County; Texas","899","46","853",
"1500000US481130006072","Block Group 2; Census Tract 6.07; Dallas County; Texas","1245","56","1189",
"1500000US481130006081","Block Group 1; Census Tract 6.08; Dallas County; Texas","1088","67","1021",
"1500000US481130006082","Block Group 2; Census Tract 6.08; Dallas County; Texas","1032","60","972",
"1500000US481130006091","Block Group 1; Census Tract 6.09; Dallas County; Texas","1878","138","1740",
"1500000US481130006101","Block Group 1; Census Tract 6.10; Dallas County; Texas","611","96","515",
"1500000US481130006102","Block Group 2; Census Tract 6.10; Dallas County; Texas","1315","256","1059",
"1500000US481130006111","Block Group 1; Census Tract 6.11; Dallas County; Texas","1092","145","947",
"1500000US481130006112","Block Group 2; Census Tract 6.11; Dallas County; Texas","1336","85","1251",
"1500000US481130007031","Block Group 1; Census Tract 7.03; Dallas County; Texas","1410","70","1340",
"1500000US481130007032","Block Group 2; Census Tract 7.03; Dallas County; Texas","1707","65","1642",
"1500000US481130007041","Block Group 1; Census Tract 7.04; Dallas County; Texas","1165","55","1110",
"1500000US481130007042","Block Group 2; Census Tract 7.04; Dallas County; Texas","1806","33","1773",
"1500000US481130007051","Block Group 1; Census Tract 7.05; Dallas County; Texas","774","25","749",
"1500000US481130007052","Block Group 2; Census Tract 7.05; Dallas County; Texas","1074","28","1046",
"1500000US481130007061","Block Group 1; Census Tract 7.06; Dallas County; Texas","1141","40","1101",
"1500000US481130007062","Block Group 2; Census Tract 7.06; Dallas County; Texas","1057","44","1013",
