"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"1500000US481130001001","Block Group 1; Census Tract 1; Dallas County; Texas","141912","93467",
"1500000US481130001002","Block Group 2; Census Tract 1; Dallas County; Texas","143021","79021",
"1500000US481130001003","Block Group 3; Census Tract 1; Dallas County; Texas","217000","107631",
"1500000US481130002011","Block Group 1; Census Tract 2.01; Dallas County; Texas","166918","32485",
"1500000US481130002012","Block Group 2; Census Tract 2.01; Dallas County; Texas","210208","38089",
"1500000US481130002013","Block Group 3; Census Tract 2.01; Dallas County; Texas","229000","78152",
"1500000US481130002021","Block Group 1; Census Tract 2.02; Dallas County; Texas","151944","109484",
"1500000US481130002022","Block Group 2; Census Tract 2.02; Dallas County; Texas","175536","61490",
"1500000US481130002023","Block Group 3; Census Tract 2.02; Dallas County; Texas","152938","96239",
"1500000US481130003001","Block Group 1; Census Tract 3; Dallas County; Texas","-","**",
"1500000US481130003002","Block Group 2; Census Tract 3; Dallas County; Texas","243873","70496",
"1500000US481130003003","Block Group 3; Census Tract 3; Dallas County; Texas","136964","105602",
"1500000US481130003004","Block Group 4; Census Tract 3; Dallas County; Texas","93900","7819",
"1500000US481130004011","Block Group 1; Census Tract 4.01; Dallas County; Texas","39592","20146",
"1500000US481130004012","Block Group 2; Census Tract 4.01; Dallas County; Texas","95592","45359",
"1500000US481130004013","Block Group 3; Census Tract 4.01; Dallas County; Texas","-","**",
"1500000US481130004014","Block Group 4; Census Tract 4.01; Dallas County; Texas","75333","40042",
"1500000US481130004051","Block Group 1; Census Tract 4.05; Dallas County; Texas","69023","39421",
"1500000US481130004052","Block Group 2; Census Tract 4.05; Dallas County; Texas","48576","12368",
"1500000US481130004071","Block Group 1; Census Tract 4.07; Dallas County; Texas","63721","40980",
"1500000US481130004072","Block Group 2; Census Tract 4.07; Dallas County; Texas","87865","54035",
"1500000US481130004081","Block Group 1; Census Tract 4.08; Dallas County; Texas","59704","22676",
"1500000US481130004082","Block Group 2; Census Tract 4.08; Dallas County; Texas","84194","22971",
"1500000US481130004091","Block Group 1; Census Tract 4.09; Dallas County; Texas","-","**",
"1500000US481130004092","Block Group 2; Census Tract 4.09; Dallas County; Texas","70566","12027",
"1500000US481130004101","Block Group 1; Census Tract 4.10; Dallas County; Texas","-","**",
"1500000US481130004102","Block Group 2; Census Tract 4.10; Dallas County; Texas","49676","42634",
"1500000US481130004103","Block Group 3; Census Tract 4.10; Dallas County; Texas","51678","32446",
"1500000US481130005011","Block Group 1; Census Tract 5.01; Dallas County; Texas","103821","52481",
"1500000US481130005012","Block Group 2; Census Tract 5.01; Dallas County; Texas","85506","46639",
"1500000US481130005021","Block Group 1; Census Tract 5.02; Dallas County; Texas","90417","86930",
"1500000US481130005022","Block Group 2; Census Tract 5.02; Dallas County; Texas","140729","56906",
"1500000US481130005031","Block Group 1; Census Tract 5.03; Dallas County; Texas","94245","28440",
"1500000US481130005032","Block Group 2; Census Tract 5.03; Dallas County; Texas","91250","30344",
"1500000US481130006051","Block Group 1; Census Tract 6.05; Dallas County; Texas","103225","9674",
"1500000US481130006052","Block Group 2; Census Tract 6.05; Dallas County; Texas","100675","10328",
"1500000US481130006053","Block Group 3; Census Tract 6.05; Dallas County; Texas","135208","36959",
"1500000US481130006061","Block Group 1; Census Tract 6.06; Dallas County; Texas","102663","41114",
"1500000US481130006062","Block Group 2; Census Tract 6.06; Dallas County; Texas","112204","46208",
"1500000US481130006063","Block Group 3; Census Tract 6.06; Dallas County; Texas","209236","78411",
"1500000US481130006071","Block Group 1; Census Tract 6.07; Dallas County; Texas","74214","35641",
"1500000US481130006072","Block Group 2; Census Tract 6.07; Dallas County; Texas","121667","44895",
"1500000US481130006081","Block Group 1; Census Tract 6.08; Dallas County; Texas","87784","30484",
"1500000US481130006082","Block Group 2; Census Tract 6.08; Dallas County; Texas","235156","182216",
"1500000US481130006091","Block Group 1; Census Tract 6.09; Dallas County; Texas","102772","26521",
"1500000US481130006101","Block Group 1; Census Tract 6.10; Dallas County; Texas","-","**",
"1500000US481130006102","Block Group 2; Census Tract 6.10; Dallas County; Texas","69343","5393",
"1500000US481130006111","Block Group 1; Census Tract 6.11; Dallas County; Texas","48333","39871",
"1500000US481130006112","Block Group 2; Census Tract 6.11; Dallas County; Texas","75882","2411",
"1500000US481130007031","Block Group 1; Census Tract 7.03; Dallas County; Texas","141786","103272",
"1500000US481130007032","Block Group 2; Census Tract 7.03; Dallas County; Texas","113617","19579",
"1500000US481130007041","Block Group 1; Census Tract 7.04; Dallas County; Texas","154699","39161",
