"GEO_ID","NAME","B17010_001E","B17010_001M","B17010_002E","B17010_002M","B17010_003E","B17010_003M","B17010_004E","B17010_004M","B17010_005E","B17010_005M","B17010_006E","B17010_006M","B17010_007E","B17010_007M","B17010_008E","B17010_008M","B17010_009E","B17010_009M","B17010_010E","B17010_010M","B17010_011E","B17010_011M","B17010_012E","B17010_012M","B17010_013E","B17010_013M","B17010_014E","B17010_014M","B17010_015E","B17010_015M","B17010_016E","B17010_016M","B17010_017E","B17010_017M","B17010_018E","B17010_018M","B17010_019E","B17010_019M","B17010_020E","B17010_020M","B17010_021E","B17010_021M","B17010_022E","B17010_022M","B17010_023E","B17010_023M","B17010_024E","B17010_024M","B17010_025E","B17010_025M","B17010_026E","B17010_026M","B17010_027E","B17010_027M","B17010_028E","B17010_028M","B17010_029E","B17010_029M","B17010_030E","B17010_030M","B17010_031E","B17010_031M","B17010_032E","B17010_032M","B17010_033E","B17010_033M","B17010_034E","B17010_034M","B17010_035E","B17010_035M","B17010_036E","B17010_036M","B17010_037E","B17010_037M","B17010_038E","B17010_038M","B17010_039E","B17010_039M","B17010_040E","B17010_040M","B17010_041E","B17010_041M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below poverty level:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years only","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years only","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!5 to 17 years only","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!5 to 17 years only","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!No related children of the householder under 18 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!No related children of the householder under 18 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years only","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years only","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!5 to 17 years only","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!5 to 17 years only","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!No related children of the householder under 18 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!No related children of the householder under 18 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years only","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years only","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!5 to 17 years only","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!5 to 17 years only","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!No related children of the householder under 18 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!No related children of the householder under 18 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years only","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years only","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!5 to 17 years only","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!5 to 17 years only","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!No related children of the householder under 18 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!No related children of the householder under 18 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years only","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years only","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!5 to 17 years only","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!5 to 17 years only","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!No related children of the householder under 18 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!No related children of the householder under 18 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years only","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years only","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!5 to 17 years only","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!5 to 17 years only","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!No related children of the householder under 18 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!No related children of the householder under 18 years",
"1500000US481130001001","Block Group 1; Census Tract 1; Dallas County; Texas","302","128","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","302","128","279","118","201","114","27","43","30","47","144","92","78","54","23","41","0","15","0","15","0","15","0","15","0","15","0","15","23","41","23","41","0","15","0","15","23","41","0","15",
"1500000US481130001002","Block Group 2; Census Tract 1; Dallas County; Texas","356","109","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","356","109","340","115","215","91","96","63","0","15","119","91","125","78","16","29","0","15","0","15","0","15","0","15","0","15","0","15","16","29","0","15","0","15","0","15","0","15","16","29",
"1500000US481130001003","Block Group 3; Census Tract 1; Dallas County; Texas","406","109","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","406","109","343","98","183","78","0","15","11","17","172","79","160","64","63","61","63","61","44","56","0","15","0","15","44","56","19","34","0","15","0","15","0","15","0","15","0","15","0","15",
"1500000US481130002011","Block Group 1; Census Tract 2.01; Dallas County; Texas","215","61","6","11","6","11","0","15","0","15","0","15","0","15","6","11","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","209","63","209","63","141","52","46","35","6","9","89","44","68","41","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15",
"1500000US481130002012","Block Group 2; Census Tract 2.01; Dallas County; Texas","292","79","9","15","0","15","0","15","0","15","0","15","0","15","0","15","9","15","0","15","0","15","0","15","0","15","0","15","0","15","9","15","9","15","0","15","0","15","9","15","0","15","283","80","269","82","92","45","47","32","34","29","11","18","177","75","14","15","0","15","0","15","0","15","0","15","0","15","0","15","14","15","0","15","0","15","0","15","0","15","14","15",
"1500000US481130002013","Block Group 3; Census Tract 2.01; Dallas County; Texas","244","66","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","244","66","235","63","150","66","0","15","22","24","128","65","85","43","9","15","9","15","0","15","0","15","0","15","0","15","9","15","0","15","0","15","0","15","0","15","0","15","0","15",
"1500000US481130002021","Block Group 1; Census Tract 2.02; Dallas County; Texas","316","171","23","34","0","15","0","15","0","15","0","15","0","15","0","15","23","34","0","15","0","15","0","15","0","15","0","15","0","15","23","34","23","34","23","34","0","15","0","15","0","15","293","171","278","170","113","104","86","101","0","15","27","26","165","127","15","17","0","15","0","15","0","15","0","15","0","15","0","15","15","17","7","11","0","15","0","15","7","11","8","11",
"1500000US481130002022","Block Group 2; Census Tract 2.02; Dallas County; Texas","304","82","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","304","82","249","77","65","42","30","34","7","11","28","27","184","63","55","45","22","24","0","15","0","15","0","15","0","15","22","24","33","36","12","19","0","15","12","19","0","15","21","32",
"1500000US481130002023","Block Group 3; Census Tract 2.02; Dallas County; Texas","347","101","17","24","17","24","0","15","0","15","0","15","0","15","17","24","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","330","104","281","101","140","60","55","45","8","13","77","34","141","72","49","55","0","15","0","15","0","15","0","15","0","15","0","15","49","55","49","55","0","15","0","15","49","55","0","15",
"1500000US481130003001","Block Group 1; Census Tract 3; Dallas County; Texas","513","203","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","513","203","481","201","48","45","0","15","14","25","34","37","433","204","32","38","11","18","0","15","0","15","0","15","0","15","11","18","21","33","21","33","0","15","0","15","21","33","0","15",
"1500000US481130003002","Block Group 2; Census Tract 3; Dallas County; Texas","334","117","15","24","15","24","0","15","0","15","0","15","0","15","15","24","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","319","116","319","116","97","74","63","54","34","42","0","15","222","90","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15",
"1500000US481130003003","Block Group 3; Census Tract 3; Dallas County; Texas","87","72","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","87","72","87","72","45","45","45","45","0","15","0","15","42","55","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15",
"1500000US481130003004","Block Group 4; Census Tract 3; Dallas County; Texas","152","181","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","152","181","152","181","117","174","0","15","100","171","17","28","35","36","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15",
"1500000US481130004011","Block Group 1; Census Tract 4.01; Dallas County; Texas","213","144","16","25","0","15","0","15","0","15","0","15","0","15","0","15","16","25","0","15","0","15","0","15","0","15","0","15","0","15","16","25","16","25","0","15","0","15","16","25","0","15","197","141","21","37","21","37","0","15","0","15","21","37","0","15","176","139","106","100","49","71","0","15","49","71","0","15","57","78","70","103","0","15","0","15","0","15","0","15","70","103",
"1500000US481130004012","Block Group 2; Census Tract 4.01; Dallas County; Texas","207","79","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","207","79","175","81","37","49","0","15","0","15","37","49","138","62","32","31","32","31","15","25","0","15","0","15","15","25","17","21","0","15","0","15","0","15","0","15","0","15","0","15",
"1500000US481130004013","Block Group 3; Census Tract 4.01; Dallas County; Texas","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15",
"1500000US481130004014","Block Group 4; Census Tract 4.01; Dallas County; Texas","369","167","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","369","167","285","155","85","55","49","59","0","15","36","50","200","147","84","81","6","13","0","15","0","15","0","15","0","15","6","13","78","80","57","81","0","15","0","15","57","81","21","33",
"1500000US481130004051","Block Group 1; Census Tract 4.05; Dallas County; Texas","175","107","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","175","107","94","69","0","15","0","15","0","15","0","15","94","69","81","85","40","60","0","15","0","15","0","15","0","15","40","60","41","62","41","62","0","15","41","62","0","15","0","15",
"1500000US481130004052","Block Group 2; Census Tract 4.05; Dallas County; Texas","63","43","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","63","43","32","33","21","27","0","15","0","15","21","27","11","16","31","32","14","21","0","15","0","15","0","15","0","15","14","21","17","22","12","20","0","15","0","15","12","20","5","9",
"1500000US481130004071","Block Group 1; Census Tract 4.07; Dallas County; Texas","318","137","30","79","30","79","30","79","0","15","0","15","30","79","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","288","164","217","163","205","165","0","15","59","86","146","141","12","20","71","82","0","15","0","15","0","15","0","15","0","15","0","15","71","82","28","51","0","15","0","15","28","51","43","68",
"1500000US481130004072","Block Group 2; Census Tract 4.07; Dallas County; Texas","169","110","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","169","110","150","104","54","87","54","87","0","15","0","15","96","61","19","34","0","15","0","15","0","15","0","15","0","15","0","15","19","34","0","15","0","15","0","15","0","15","19","34",
"1500000US481130004081","Block Group 1; Census Tract 4.08; Dallas County; Texas","154","88","5","8","5","8","0","15","0","15","0","15","0","15","5","8","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","149","88","91","74","32","52","0","15","32","52","0","15","59","55","58","62","0","15","0","15","0","15","0","15","0","15","0","15","58","62","58","62","58","62","0","15","0","15","0","15",
"1500000US481130004082","Block Group 2; Census Tract 4.08; Dallas County; Texas","186","111","9","15","0","15","0","15","0","15","0","15","0","15","0","15","9","15","0","15","0","15","0","15","0","15","0","15","0","15","9","15","0","15","0","15","0","15","0","15","9","15","177","110","124","96","72","81","0","15","0","15","72","81","52","51","53","57","19","31","0","15","0","15","0","15","0","15","19","31","34","50","0","15","0","15","0","15","0","15","34","50",
"1500000US481130004091","Block Group 1; Census Tract 4.09; Dallas County; Texas","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15",
"1500000US481130004092","Block Group 2; Census Tract 4.09; Dallas County; Texas","407","198","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","407","198","388","198","75","91","75","91","0","15","0","15","313","194","19","35","19","35","0","15","0","15","0","15","0","15","19","35","0","15","0","15","0","15","0","15","0","15","0","15",
"1500000US481130004101","Block Group 1; Census Tract 4.10; Dallas County; Texas","308","134","135","105","69","111","0","15","0","15","0","15","0","15","69","111","66","75","0","15","0","15","0","15","0","15","0","15","0","15","66","75","41","63","0","15","0","15","41","63","25","42","173","81","126","80","126","80","0","15","45","76","81","86","0","15","47","49","22","35","0","15","0","15","0","15","0","15","22","35","25","37","0","15","0","15","0","15","0","15","25","37",
