School Name,School Number,Closed,School Street,School City,School Zip,Grade Low,Grade High,Enrollment,School Accreditations,District Name,District Number,District Enrollment,District Street,District City,District Zip,County Name,County Number,Region Name
Akiba Yavneh Academy of Dallas,57187101,FALSE,12324 Merit Drive,Dallas,75251,Pre-K,12,425,COGNIA : 1992 | TAAPS : 1998,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Alcuin School,57203101,FALSE,6144 Churchill Way,Dallas,75230,Pre-K,12,635,ISAS : 1999 | ISAS : 2009 | ISAS : 2019,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Ann and Nate Levine Academy - A Solomon Schechter School,57147101,FALSE,18011 Hillcrest Rd,Dallas,75252,Pre-K,8,443,ISAS : 2022,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
ArborCreek Montessori Academy,57440001,FALSE,13310 Bee Street,Farmers Branch,75234,1,6,16,COGNIA : 2025,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
BASIS Richardson,57430001,TRUE,2200 North Greenville Avenue,Richardson,75082,6,7,102,COGNIA : 2025,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
BASIS Richardson,57431001,TRUE,2200 North Greenville Avenue,Richardson,75082,Kindergarten,5,597,COGNIA : 2025,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Bending Oaks School,57141001,TRUE,11884 Greenville Ave 120,Dallas,75243,7,12,0,COGNIA : 1986,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Bishop Dunne Catholic High School,57100001,FALSE,3900 Rugged Dr,Dallas,75224,7,12,558,TCCB ED : 1963,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Bishop Lynch High School,57100002,FALSE,9750 Ferguson Rd,Dallas,75228,9,12,"1,098",TCCB ED : 1968,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Brighter Horizons Academy,57242013,FALSE,3145 Medical Plaza Dr,Garland,75044,Pre-K,12,678,COGNIA : 2006,GARLAND ISD,57909,58059,501 S JUPITER,GARLAND,75042-7108,Dallas,57,10
Brightspire Virtual School (Digital Learning),57335001,TRUE,"17855 Dallas Parkway, Suite 400",Dallas,75287,6,12,200,COGNIA : 2023,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Cadence Academy Preschool of Bent Tree,57274001,TRUE,17275 Addison Rd,Addison,75001,Early Education,Early Education,0,COGNIA : 2010,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Café Momentum Academy,57645001,FALSE,1510 Pacific Ave,Dallas,75201,9,12,15,COGNIA : 2026,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Calvary Lutheran School,57256101,FALSE,9807 Church Rd,Dallas,75238,Pre-K,8,95,TAAPS : 2001,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Cambridge Square,57209101,TRUE,1121 E Pleasant Run Rd,Desoto,75115,Pre-K,8,0,TAAPS : 2000,,,0,,,,Dallas,57,
Canterbury Episcopal School Desoto,57135101,TRUE,1708 N Westmoreland Road,DeSoto,75115,Pre-K,12,226,SAES : 1997,DESOTO ISD,57906,8899,200 E BELT LINE RD,DESOTO,75115-5795,Dallas,57,10
Canyon Creek Christian Academy,57108001,TRUE,2800 Custer Parkway,Richardson,75080,1,12,195,ACSI : 1995 | COGNIA : 2012,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Carrollton Christian Academy,57124001,TRUE,2205 East Hebron Parkway,Carrollton,75010,Kindergarten,12,0,COGNIA : 1991,,,0,,,,Dallas,57,
Cedar Hill Preparatory Academy,57114001,FALSE,1513 South Highway 67,Cedar Hill,75104,1,12,61,COGNIA : 2012,CEDAR HILL ISD,57904,8258,285 UPTOWN BLVD,CEDAR HILL,75104,Dallas,57,10
Chatter Academy,57710001,FALSE,16415 Addison Road,Addison,75001,Pre-K,12,6,COGNIA : 2026,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Choices Leadership Academy,57267001,TRUE,18106 Marsh Lane,Dallas,75287,5,8,0,COGNIA : 2009,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
Christ the King Catholic School - Dallas,57100101,FALSE,4100 Colgate,Dallas,75225,Kindergarten,8,420,TCCB ED : 1965,HIGHLAND PARK ISD,57911,6848,7015 WESTCHESTER DR,DALLAS,75205-1061,Dallas,57,10
Cistercian Preparatory School ,57100003,FALSE,3660 Cistercian Road,Irving,75039,5,12,363,ISAS : 1981 | ISAS : 2002 | ISAS : 2012 | ISAS : 2022,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
City School Texas,57515001,FALSE,1844 Teri Road,Austin,78744,Pre-K,8,77,COGNIA : 2026,AUSTIN ISD,227901,86516,1111 W 6TH ST,AUSTIN,78703-5399,Dallas,57,13
"Classical School of Dallas, Inc.",57510001,FALSE,9330 N US 75-Central Expy 1000,Dallas,75231,Pre-K,11,302,COGNIA : 2024,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
