,OBJECTID,Name,Tuition,Enrollment,PreK,Total,Address,City,State,Zip,County,Latitude,Longitude,GeoScore,GeoAddress,GeoRank,Grades,GlobalID,geometry,Voucher
237,238,AKIBA ACADEMY OF DALLAS,0,237,114,351,12324 MERIT DR,DALLAS,TX,75251,DALLAS,32.9154448458,-96.7719117816,100.0,"12324 Merit Dr, Dallas, Texas, 75251",20.0,,{3E5871A5-CEA8-4566-9163-FA593B0C4EB7},POINT (-96.7719117816 32.9154448458),1
239,240,ADVANCED PREPARATORY INTERNATIONAL,0,26,0,26,5787 S HAMPTON RD STE 115,DALLAS,TX,75232,DALLAS,32.677223694,-96.8571844319,100.0,"5787 S Hampton Rd, Dallas, Texas, 75232",20.0,,{0AA3417E-9D0F-46FC-B7DE-F9D1E826A25C},POINT (-96.8571844319 32.677223694),1
240,241,APPLESEED ACADEMY,0,16,64,80,4346 N GALLOWAY AVE,MESQUITE,TX,75150,DALLAS,32.8227886058,-96.6207397155,100.0,"4346 N Galloway Ave, Mesquite, Texas, 75150",20.0,,{23FB3E08-2181-46B7-BDBC-382FDC20604D},POINT (-96.6207397155 32.8227886058),1
243,244,ARBORCREEK MONTESSORI SCHOOL,0,17,29,46,2713 COOKSCREEK PL,FARMERS BRANCH,TX,75234,DALLAS,32.941297485,-96.888849976,100.0,"2713 Cookscreek Pl, Dallas, Texas, 75234",20.0,,{B3CFBA6C-C2D1-4579-80ED-6A8F5FA4A006},POINT (-96.888849976 32.941297485),1
245,246,BISHOP DUNNE CATHOLIC SCHOOL,15000,611,0,613,3900 RUGGED DR,DALLAS,TX,75224,DALLAS,32.6955394972,-96.8519763913,100.0,"3900 Rugged Dr, Dallas, Texas, 75224",20.0,6-12,{758A1CE8-BD07-4A81-8434-0329DDFCA5BF},POINT (-96.8519763913 32.6955394972),1
248,249,BRIGHTER HORIZONS ACADEMY,7622,799,49,814,3145 MEDICAL PLZ DR,GARLAND,TX,75044,DALLAS,32.9470879971,-96.6692274328,100.0,"3145 Medical Plaza Dr, Garland, Texas, 75044",20.0,Pre-K-12,{930F0AA5-7891-4ECA-B265-B7609E587E08},POINT (-96.6692274328 32.9470879971),1
249,250,BRIDGE BUILDER ACADEMY,0,22,0,22,1221 W CAMPBELL RD STE 209,RICHARDSON,TX,75080,DALLAS,32.978118096,-96.760913635,100.0,"1221 W Campbell Rd, Ste 209, Richardson, Texas, 75080",20.0,,{C07DDFF8-9E93-4EEF-8707-2D310196752E},POINT (-96.760913635 32.978118096),1
250,251,CALVARY TEMPLE CHRISTIAN ACADEMY,0,49,7,56,PO BOX 852238,MESQUITE,TX,75185,DALLAS,32.7757569,-96.5983497,98.0,"75185, Mesquite, Texas",4.5,,{121A99D0-6093-4DC6-B58A-E794942C2620},POINT (-96.5983497 32.7757569),1
251,252,CALVARY LUTHERAN SCHOOL,0,78,16,94,9807 CHURCH RD,DALLAS,TX,75238,DALLAS,32.886043183,-96.7171650458,100.0,"9807 Church Rd, Dallas, Texas, 75238",20.0,,{A89AFFD8-FD88-42C6-BA4C-8FBFAF319A67},POINT (-96.7171650458 32.886043183),1
254,255,CHRIST THE KING CATHOLIC SCHOOL,11000,468,0,488,4100 COLGATE AVE,DALLAS,TX,75225,DALLAS,32.8598357378,-96.8052129991,100.0,"4100 Colgate Ave, Dallas, Texas, 75225",20.0,Pre-K-8,{005C6185-B8B8-4873-AB72-EEC68A26660E},POINT (-96.8052129991 32.8598357378),1
257,258,CORAM DEO ACADEMY,0,101,17,118,7777 LBJ FWY,DALLAS,TX,75251,DALLAS,32.9247175357,-96.7733600069,100.0,"7777 Lyndon B Johnson Fwy, Dallas, Texas, 75251",20.0,,{44FF1D58-0509-400F-96A4-31C15B4AD9CB},POINT (-96.7733600069 32.9247175357),1
259,260,CEDAR HILL PREPARTORY ACADEMY,0,35,0,35,1513 S HWY 67,CEDAR HILL,TX,75104,DALLAS,32.5592839078,-96.971713806,100.0,"1513 S Highway 67, Cedar Hill, Texas, 75104",20.0,,{4CB2C1BC-B42F-4968-AAC5-1095178C4ED6},POINT (-96.971713806 32.5592839078),1
260,261,CORAM DEO ACADEMY,0,102,16,118,7777 LBJ FWY,DALLAS,TX,75251,DALLAS,32.9247175357,-96.7733600069,100.0,"7777 Lyndon B Johnson Fwy, Dallas, Texas, 75251",20.0,,{DE84FB56-CD40-4A1E-908D-1CF4DFD01F41},POINT (-96.7733600069 32.9247175357),1
264,265,CRISTO REY DALLAS COLLEGE PREP,0,374,0,374,1054 N ST AUGUSTINE DR,DALLAS,TX,75217,DALLAS,32.7308623459,-96.6568863376,100.0,"1054 N Saint Augustine Dr, Dallas, Texas, 75217",20.0,,{93229C90-41AF-4004-B354-8B38BBADCDA4},POINT (-96.6568863376 32.7308623459),1
